v8-version,3,32,7,0,0
code-creation,Stub,11,0x94a17720,470,"BinaryOpICStub(MUL:Int32*Smi->Number)"
code-creation,Stub,11,0x94a17900,498,"BinaryOpICStub(MUL:Number*Int32->Number)"
code-creation,Stub,11,0x94a17b00,538,"BinaryOpICStub(MUL_ReuseLeft:Number*Int32->Number)"
code-creation,Stub,11,0x94a17d20,534,"BinaryOpICStub(MUL_ReuseRight:Number*Int32->Number)"
code-creation,Stub,11,0x94a17f40,438,"BinaryOpICStub(MUL:Number*Number->Number)"
code-creation,Stub,11,0x94a18100,474,"BinaryOpICStub(MUL_ReuseLeft:Number*Number->Number)"
code-creation,Stub,11,0x94a182e0,410,"BinaryOpICStub(MUL:Number*Smi->Number)"
code-creation,Stub,11,0x94a18480,446,"BinaryOpICStub(MUL_ReuseLeft:Number*Smi->Number)"
code-creation,Stub,11,0x94a18640,410,"BinaryOpICStub(MUL_ReuseRight:Number*Smi->Number)"
code-creation,Stub,11,0x94a187e0,320,"BinaryOpICStub(MUL:Smi*Int32->Int32)"
code-creation,Stub,11,0x94a18920,320,"BinaryOpICStub(MUL_ReuseLeft:Smi*Int32->Int32)"
code-creation,Stub,11,0x94a18a60,470,"BinaryOpICStub(MUL:Smi*Int32->Number)"
code-creation,Stub,11,0x94a18c40,410,"BinaryOpICStub(MUL:Smi*Number->Number)"
code-creation,Stub,11,0x94a18de0,410,"BinaryOpICStub(MUL_ReuseLeft:Smi*Number->Number)"
code-creation,Stub,11,0x94a18f80,446,"BinaryOpICStub(MUL_ReuseRight:Smi*Number->Number)"
code-creation,Stub,11,0x94a19140,232,"BinaryOpICStub(MUL:Smi*Smi->Int32)"
code-creation,Stub,11,0x94a19240,382,"BinaryOpICStub(MUL:Smi*Smi->Number)"
code-creation,Stub,11,0x94a193c0,382,"BinaryOpICStub(MUL_ReuseLeft:Smi*Smi->Number)"
code-creation,Stub,11,0x94a19540,228,"BinaryOpICStub(MUL:Smi*Smi->Smi)"
code-creation,Stub,11,0x94a19640,228,"BinaryOpICStub(MUL_ReuseLeft:Smi*Smi->Smi)"
code-creation,Stub,11,0x94a19740,228,"BinaryOpICStub(MUL_ReuseRight:Smi*Smi->Smi)"
code-creation,Stub,11,0x94a19840,312,"BinaryOpICStub(SAR_ReuseRight:Int32*Smi->Int32)"
code-creation,Stub,11,0x94a19980,312,"BinaryOpICStub(SAR:Int32*Smi->Smi)"
code-creation,Stub,11,0x94a19ac0,312,"BinaryOpICStub(SAR_ReuseRight:Int32*Smi->Smi)"
code-creation,Stub,11,0x94a19c00,320,"BinaryOpICStub(SAR:Number*Smi->Smi)"
